dataset_id,gesture,ax,ay,az,gx,gy,gz
1,throwing,-0.0859,0.3574,1.0552,-7.7057,-3.0823,2.0752
1,throwing,-0.0823,0.3567,1.0454,-7.7744,-3.2272,2.2430
1,throwing,-0.0852,0.3545,1.0557,-7.7438,-3.4790,2.4185
1,throwing,-0.0823,0.3501,1.0596,-7.6218,-3.5172,2.4796
1,throwing,-0.0798,0.3445,1.0554,-7.6218,-3.5629,2.5406
1,throwing,-0.0815,0.3447,1.0564,-7.7438,-3.8757,2.6932
1,throwing,-0.0771,0.3430,1.0574,-7.5836,-4.0207,2.7466
1,throwing,-0.0769,0.3447,1.0618,-7.4081,-4.0970,2.7313
1,throwing,-0.0735,0.3491,1.0557,-7.3471,-4.0970,2.7390
1,throwing,-0.0767,0.3477,1.0520,-7.2250,-4.1428,2.8839
1,throwing,-0.0803,0.3445,1.0500,-7.2098,-4.4098,2.9221
1,throwing,-0.0776,0.3452,1.0574,-7.0724,-4.5242,2.8763
1,throwing,-0.0801,0.3438,1.0647,-6.9885,-4.5624,3.0289
1,throwing,-0.0759,0.3428,1.0618,-6.9809,-4.7073,3.1357
1,throwing,-0.0750,0.3440,1.0515,-6.8588,-4.9210,3.2196
1,throwing,-0.0710,0.3391,1.0488,-6.9122,-4.9973,3.1128
1,throwing,-0.0745,0.3386,1.0461,-6.9275,-5.0201,3.0899
1,throwing,-0.0754,0.3376,1.0442,-6.9122,-5.0735,3.1281
1,throwing,-0.0691,0.3323,1.0493,-6.9656,-5.1270,3.1052
1,throwing,-0.0723,0.3333,1.0564,-6.9046,-5.2185,3.0746
1,throwing,-0.0740,0.3379,1.0496,-6.7062,-5.2414,3.0289
1,throwing,-0.0801,0.3291,1.0461,-6.7139,-5.2032,2.7771
1,throwing,-0.0684,0.3293,1.0513,-6.8054,-5.0430,2.7542
1,throwing,-0.0688,0.3284,1.0522,-6.7291,-5.0812,2.8458
1,throwing,-0.0649,0.3271,1.0427,-6.8359,-5.1727,3.0518
1,throwing,-0.0652,0.3286,1.0447,-6.8970,-5.3253,2.9068
1,throwing,-0.0581,0.3274,1.0479,-6.8665,-5.2490,2.7924
1,throwing,-0.0583,0.3286,1.0444,-6.8970,-5.1727,2.8610
1,throwing,-0.0596,0.3342,1.0515,-7.0419,-5.2948,2.8381
1,throwing,-0.0581,0.3274,1.0479,-6.9504,-5.2109,2.7466
1,throwing,-0.0596,0.3254,1.0432,-6.8893,-5.2414,2.7618
1,throwing,-0.0601,0.3267,1.0381,-6.9046,-5.2261,2.6703
1,throwing,-0.0598,0.3328,1.0378,-7.1564,-5.2338,2.8610
1,throwing,-0.0645,0.3342,1.0386,-7.2479,-5.2948,2.9068
1,throwing,-0.0608,0.3289,1.0327,-7.2632,-5.1270,2.7618
1,throwing,-0.0623,0.3208,1.0383,-7.2556,-4.9057,2.6779
1,throwing,-0.0566,0.3279,1.0371,-7.3471,-4.9133,2.6474
1,throwing,-0.0515,0.3289,1.0393,-7.4844,-4.8676,2.5253
1,throwing,-0.0481,0.3247,1.0303,-7.4234,-4.8523,2.6169
1,throwing,-0.0535,0.3235,1.0442,-7.3471,-4.8065,2.6016
1,throwing,-0.0532,0.3191,1.0500,-7.3242,-4.7455,2.4109
1,throwing,-0.0510,0.3220,1.0364,-7.4234,-4.5090,2.3575
1,throwing,-0.0479,0.3293,1.0393,-7.6447,-4.3945,2.3193
1,throwing,-0.0486,0.3279,1.0491,-7.5226,-4.4556,2.2278
1,throwing,-0.0422,0.3289,1.0427,-7.3853,-4.1656,2.1286
1,throwing,-0.0508,0.3262,1.0320,-7.4234,-3.9825,2.1973
1,throwing,-0.0471,0.3293,1.0247,-7.5226,-3.7384,2.3193
1,throwing,-0.0469,0.3252,1.0249,-7.5455,-3.6697,2.2354
1,throwing,-0.0437,0.3276,1.0393,-7.6904,-3.6087,2.1973
1,throwing,-0.0464,0.3286,1.0359,-7.5989,-3.4485,2.0523
1,throwing,-0.0449,0.3311,1.0376,-7.5226,-3.4180,2.1210
1,throwing,-0.0447,0.3345,1.0464,-7.7133,-3.3646,2.2125
1,throwing,-0.0493,0.3313,1.0442,-7.7515,-3.3798,2.1820
1,throwing,-0.0486,0.3369,1.0466,-7.7515,-3.3417,2.1210
1,throwing,-0.0457,0.3367,1.0393,-7.7438,-3.3035,2.2125
1,throwing,-0.0508,0.3408,1.0457,-7.6752,-3.1815,2.1591
1,throwing,-0.0518,0.3359,1.0452,-7.8506,-3.0823,2.1591
1,throwing,-0.0518,0.3391,1.0352,-7.9651,-2.9068,2.3575
1,throwing,-0.0498,0.3438,1.0432,-7.9880,-2.8687,2.4261
1,throwing,-0.0530,0.3384,1.0356,-8.1329,-2.7847,2.3117
1,throwing,-0.0532,0.3394,1.0417,-8.2092,-2.7084,2.2888
1,throwing,-0.0486,0.3440,1.0464,-8.1329,-2.5101,2.3499
1,throwing,-0.0557,0.3394,1.0447,-8.1482,-2.1973,2.3804
1,throwing,-0.0554,0.3420,1.0476,-8.2169,-2.0294,2.6474
1,throwing,-0.0603,0.3411,1.0439,-8.2321,-1.8768,2.8229
