dataset_id,gesture,ax,ay,az,gx,gy,gz
1,drinking,0.0703,0.2075,1.1008,-0.8545,6.2561,0.7324
1,drinking,0.0669,0.1995,1.1091,-0.8698,6.3095,0.7629
1,drinking,0.0667,0.2041,1.1025,-0.7935,6.4011,0.4807
1,drinking,0.0659,0.2061,1.1047,-0.6714,6.4163,0.3510
1,drinking,0.0662,0.2026,1.1121,-0.6027,6.3171,0.3204
1,drinking,0.0654,0.2036,1.1140,-0.6332,6.2332,0.3204
1,drinking,0.0645,0.2046,1.1123,-0.8698,6.1646,0.2747
1,drinking,0.0688,0.1997,1.1125,-0.7248,6.1798,0.1373
1,drinking,0.0649,0.2041,1.1187,-0.4044,6.1264,0.1144
1,drinking,0.0630,0.2056,1.1272,-0.4120,6.2790,-0.0763
1,drinking,0.0605,0.2026,1.1194,-0.5264,6.2714,-0.1984
1,drinking,0.0615,0.1970,1.1196,-0.4349,6.1340,-0.2823
1,drinking,0.0564,0.2012,1.1260,-0.4196,6.4392,-0.5341
1,drinking,0.0544,0.2009,1.1411,-0.4349,6.3782,-0.6180
1,drinking,0.0547,0.2126,1.1355,-0.3204,6.1111,-0.7172
1,drinking,0.0515,0.2070,1.1316,-0.4425,6.0043,-0.6485
1,drinking,0.0593,0.2075,1.1431,-0.4349,5.8899,-0.6638
1,drinking,0.0598,0.2034,1.1487,-0.4272,5.7983,-0.9460
1,drinking,0.0627,0.2063,1.1396,-0.4349,5.7831,-0.8392
1,drinking,0.0613,0.2078,1.1367,-0.3128,5.7678,-0.8316
1,drinking,0.0540,0.2141,1.1448,-0.2670,5.8136,-0.8316
1,drinking,0.0515,0.2175,1.1477,-0.1144,5.9128,-0.9613
1,drinking,0.0496,0.2190,1.1416,-0.0839,5.7831,-0.9995
1,drinking,0.0476,0.2122,1.1387,-0.1450,5.5847,-0.8240
1,drinking,0.0525,0.2114,1.1445,0.0916,5.5771,-0.9003
1,drinking,0.0500,0.2170,1.1465,0.3586,5.5466,-1.0681
1,drinking,0.0520,0.2163,1.1455,0.4120,5.5618,-1.1444
1,drinking,0.0520,0.2178,1.1475,0.5417,5.3635,-1.1520
1,drinking,0.0488,0.2231,1.1526,0.6790,5.2567,-1.0681
1,drinking,0.0413,0.2217,1.1528,0.7782,5.2719,-1.1063
1,drinking,0.0435,0.2205,1.1572,0.8011,5.2567,-1.1597
1,drinking,0.0422,0.2195,1.1516,0.9460,5.1880,-1.1444
1,drinking,0.0388,0.2236,1.1443,1.0834,5.1270,-1.0910
1,drinking,0.0378,0.2283,1.1455,1.2131,5.0812,-1.1597
1,drinking,0.0420,0.2253,1.1477,1.4496,4.9210,-1.0452
1,drinking,0.0413,0.2283,1.1450,1.5488,4.6463,-0.9232
1,drinking,0.0430,0.2314,1.1448,1.5030,4.3869,-0.9766
1,drinking,0.0400,0.2288,1.1543,1.7090,4.2343,-0.9155
1,drinking,0.0376,0.2322,1.1538,1.9150,4.2114,-0.9155
1,drinking,0.0410,0.2349,1.1565,2.0142,3.9673,-0.9613
1,drinking,0.0408,0.2366,1.1477,1.9379,3.8376,-0.9003
1,drinking,0.0427,0.2375,1.1499,1.9760,3.7842,-0.8545
