dataset_id,gesture,ax,ay,az,gx,gy,gz
1,driving,0.0388,0.3022,1.1411,19.1345,17.5552,0.6790
1,driving,0.0398,0.3049,1.1387,18.6920,17.8070,0.6409
1,driving,0.0325,0.2991,1.1274,18.4326,17.9443,0.4501
1,driving,0.0283,0.2954,1.1221,18.3868,17.8452,0.1602
1,driving,0.0217,0.2922,1.1301,18.4174,17.7460,-0.2365
1,driving,0.0125,0.2886,1.1313,17.9825,17.7460,-0.5569
1,driving,0.0264,0.2930,1.1272,17.6163,17.8757,-0.8087
1,driving,0.0288,0.2979,1.1218,17.4179,17.9367,-0.9232
1,driving,0.0330,0.3013,1.1091,17.2577,17.9138,-0.9842
1,driving,0.0393,0.2979,1.1082,17.3721,18.0283,-1.0834
1,driving,0.0396,0.3044,1.1099,17.5400,18.1274,-1.0376
1,driving,0.0415,0.3054,1.1079,17.6849,18.0588,-1.0681
1,driving,0.0447,0.3081,1.1116,17.9825,18.0740,-0.9460
1,driving,0.0447,0.3027,1.1079,18.1580,17.7612,-0.7248
1,driving,0.0383,0.3032,1.1069,18.1656,17.4789,-0.7248
1,driving,0.0403,0.3066,1.1179,17.9749,17.4789,-1.0376
1,driving,0.0557,0.3049,1.1077,18.3487,17.3569,-0.7248
1,driving,0.0293,0.3208,1.1458,18.8675,17.1661,-0.2365
1,driving,0.0383,0.3081,1.1372,19.0125,16.8533,-0.1526
1,driving,0.0364,0.3108,1.1506,18.9056,16.3574,-0.3433
1,driving,0.0427,0.3015,1.1526,18.8675,15.8234,-0.7324
1,driving,0.0508,0.2952,1.1445,19.0506,15.2664,-1.1139
1,driving,0.0496,0.2964,1.1360,19.3405,15.0757,-1.3199
1,driving,0.0461,0.2979,1.1450,19.8669,14.9231,-1.3885
1,driving,0.0405,0.2991,1.1453,20.2026,14.7781,-1.4114
1,driving,0.0359,0.2986,1.1389,20.3018,14.5111,-1.1902
1,driving,0.0400,0.2966,1.1326,20.5078,14.2670,-1.2589
1,driving,0.0354,0.3030,1.1255,20.6833,13.9999,-1.1978
1,driving,0.0288,0.2961,1.1411,20.8359,13.8397,-1.0834
1,driving,0.0388,0.2957,1.1401,20.9885,13.7405,-1.3885
1,driving,0.0400,0.2969,1.1409,20.9503,13.4735,-1.3809
1,driving,0.0369,0.2966,1.1348,20.7901,13.2217,-1.2207
1,driving,0.0432,0.3018,1.1257,20.7443,13.0005,-1.3275
1,driving,0.0432,0.3037,1.1262,20.8359,12.9929,-1.3657
1,driving,0.0425,0.2998,1.1257,20.9961,13.0310,-1.5488
1,driving,0.0447,0.2976,1.1257,21.1716,13.0463,-1.7090
1,driving,0.0483,0.3013,1.1338,21.3089,12.8403,-1.8311
1,driving,0.0449,0.2922,1.1206,21.6751,12.4359,-2.0676
1,driving,0.0386,0.2864,1.1152,22.0108,12.2681,-2.3880
1,driving,0.0444,0.2869,1.1230,22.0947,12.3367,-2.6245
1,driving,0.0430,0.2871,1.1218,22.0566,12.2528,-2.9068
1,driving,0.0391,0.2917,1.1230,22.0947,12.2299,-2.8534
